Tag A,Tag B,Similitud_Coseno_Prob_Topicos
El País,Presupuesto 2025,0.948
El País,Populismo,0.948
Argentina,Opus Dei,0.948
Fútbol,Fútbol Femenino,0.948
Fundamentalistas Del Aire Acondicionado,Rock Nacional,0.948
Ni Una Menos,Punitivismo,0.948
Desplazados,Sequía,0.948
Canal De Panamá,Instituto Llilas,0.948
Beca Crónica,Sequía,0.948
Beca Crónica,Monterrey,0.948
Resistencia,Sequía,0.948
Artes,Escuela De Arte Y Patrimonio,0.948
Beca Crónica,Instituto Llilas,0.948
Monterrey,Resistencia,0.948
Autismo,Trastorno Del Espectro Autista,0.948
Autismo,Autista,0.948
Elecciones Legislativas 2021,Frente De Izquierda,0.948
Ley De Glaciares,Monterrey,0.948
Varones Gay,Vih,0.947
Provincias,Sin Control 2,0.947
Gustavo Petro,Izquierdas,0.947
Federalismo,Juan Grabois,0.947
Prep,Vih,0.947
Elecciones 2023,Pro,0.947
Elecciones 2023,Un Año De Milei,0.947
Feminismos,Lgbtiq+,0.947
Feminismos Afro,Lenguaje Inclusivo,0.947
Elecciones 2023,Elecciones Legislativas 2021,0.947
El País,Llaryora,0.947
Ba,Cosas Que Funcionan,0.947
Arte,Ilustraciones,0.947
Brics,China,0.947
Izquierdas,Xiomara Castro,0.947
Fiesta Anfibia,Música Electrónica,0.947
Perfil Político,Política,0.947
Mundial De Fútbol,Pelé,0.947
Bell Hooks,Lenguaje Inclusivo,0.947
Bahía Blanca,Inundación,0.947
Donald Trump,Politica Exterior,0.947
La Transición En Chile,Nueva Constitución,0.947
Anticomunismo,Progresismo,0.947
$Libra,Sin Control 2,0.947
Pep,Vih,0.947
El País,Pacto De Mayo,0.947
Música,Redonditos De Ricota,0.947
Fundamentalistas Del Aire Acondicionado,Música,0.947
Evangélicos,Religión,0.947
Frente De Todos,Nancy Fraser,0.947
Honduras,Izquierdas,0.947
Frente De Todos,Marxismo,0.947
Liberalismo,Progresismo,0.947
Discurso,O Sea Digamos,0.947
Milei,Sin Control 2,0.947
Cristina Fernández De Kirchner,Ucr,0.947
Comedores Comunitarios,Un Año De Milei,0.946
Arte,Arte Digital,0.946
Leandro Santoro,Provincias,0.946
Abuso Sexual,Ni Una Menos,0.946
Federalismo,Pro,0.946
Elecciones,Sergio Massa,0.946
Adorni,O Sea Digamos,0.946
Derecha,Evangélicos,0.946
Alberto Fernández,Angela Merkel,0.946
María Eugenia Vidal,Randazzo,0.946
Liberalismo,Sin Control 2,0.946
Patricia Bullrich,Ucr,0.946
Cop26,Hidrógeno Verde,0.946
Netflix,Zendaya,0.946
Nicaragua,Partido Republicano,0.946
Cristina Fernández De Kirchner,Marcos Peña,0.946
Cristina Fernández De Kirchner,Juntos Por El Cambio,0.946
Evangélicos,Papa León Xiv,0.946
Euphoria,Netflix,0.946
#Niunamenos,Higui,0.946
Territorio Educativo,Universidad Pública,0.946
Daniel Ortega,Partido Republicano,0.946
Escuela De Política Y Gobierno,Francia Márquez,0.945
Giorgia Meloni,Randazzo,0.945
Elecciones 2023,Progresismo,0.945
Libertad,Sergio Massa,0.945
Jorge Macri,Juan Grabois,0.945
Comedores Comunitarios,Javier Milei,0.945
Clarín,Lawfare,0.945
Feminismo Negro,Gustavo Petro,0.945
Femicidio,Nora Dalmasso,0.945
Axel Kicillof,Congreso,0.945
Deuda Externa,Precios,0.945
Financiamiento Narco,Milei,0.945
Deuda Externa,Economía,0.945
Ley Ómnibus,Sin Control 2,0.945
Anticomunismo,Liberalismo,0.945
Anticomunismo,Peronismo,0.945
Folclore,Soledad Pastorutti,0.945
Liberalismo,Libertad,0.945
Folclore,Rock Nacional,0.945
Folclore,Milo J,0.945
Folclore,Lito Vitale,0.945
Folclore,Mex Urtizberea,0.945
Folclore,Liliana Herrero,0.945
Folclore,Julián Kartun,0.945
Folclore,Folklore,0.945
Deudas,Inflación,0.945
Cine Argentino,Premios Oscar,0.945
Gustavo Petro,Interseccionalidad,0.945
Falklore,Folclore,0.945
Karina Milei,Provincias,0.945
Cosquín,Folclore,0.945
Cazzu,Folclore,0.945
Causa Andis,Milei,0.945
Javier Milei,Karina Milei,0.944
Libertarios,O Sea Digamos,0.944
Asociación Del Fútbol Argentino,Qatar 2022,0.944
Transporte,Trenes Argentinos,0.944
Transporte,Trenes,0.944
Religion,Religión,0.944
Ca7Triel Y Paco,Redonditos De Ricota,0.944
Escuela De Política Y Gobierno,Gustavo Petro,0.944
Escuela De Política Y Gobierno,Marcos Peña,0.944
Ferrocarriles,Transporte,0.944
Derechas,Libertad,0.944
Libertarios,Unión Por La Patria,0.944
Congreso,Liberalismo,0.944
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Punitivismo,0.944
Anticomunismo,Sergio Massa,0.944
Congreso,Milei,0.944
Anticomunismo,Elecciones,0.944
Discurso,Pro,0.944
Corrupción,O Sea Digamos,0.944
Fútbol,Mundial Femenino De Fútbol,0.944
Discurso,Libertad,0.944
Diego Maradona,Selección Argentina,0.944
Soledad Acuña,Territorio Educativo,0.944
Juntos Por El Cambio,Provincias,0.944
Ca7Triel Y Paco,Fundamentalistas Del Aire Acondicionado,0.944
Axel Kicillof,Discurso,0.943
Escuelas,Universidad Pública,0.943
Escuelas,Violencia Escolar,0.943
Izquierdas,Randazzo,0.943
Congreso,Pacto De Mayo,0.943
Fmi,Mitos Impuestos,0.943
Congreso,Llaryora,0.943
Adorni,Javier Milei,0.943
Cepo,Mercado Libre,0.943
Liberalismo,Unión Por La Patria,0.943
Diego Maradona,Fútbol,0.943
La Conversa,Sebastián Piñera,0.943
Pacto De Mayo,Sin Control 2,0.943
Peronismo,Ucr,0.943
Adorni,Sin Control 2,0.943
Libros,Literatura,0.943
Comedores Comunitarios,Ley Bases,0.943
Inflación,Mitos Impuestos,0.943
Juan Grabois,La Libertad Avanza,0.943
Frente De Izquierda,Frente De Todos,0.943
Feminismos,Géneros,0.943
Elecciones,Ucr,0.943
Industria Textil,Mercado Libre,0.943
Juan Grabois,Sergio Massa,0.943
Llaryora,Sin Control 2,0.943
Amazon Prime,Series,0.943
Derechas,Unión Por La Patria,0.943
Maradona,Viajes,0.942
Desarrollo,Recursos Naturales,0.942
Randazzo,Santa Fe,0.942
8M,Bell Hooks,0.942
Libertad,Un Año De Milei,0.942
Juntos Por El Cambio,Ucr,0.942
Gaza,Palestina,0.942
Corte Suprema,Poder Judicial,0.942
Leandro Santoro,Sergio Massa,0.942
Boric,Chile,0.942
Elecciones,Lavagna,0.942
Palestina,Spinoza,0.942
Judaismo,Palestina,0.942
Discurso,Leandro Santoro,0.942
Angela Merkel,Giorgia Meloni,0.942
Libertad,O Sea Digamos,0.942
Federalismo,Liberalismo,0.942
Punitivismo,Testimonios,0.942
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Disidencias Sexuales,0.942
#Niunamenos,Abuso Sexual,0.942
8M,Feminismos Afro,0.942
Folklore,Pop,0.942
Estallido En Chile,Sebastián Piñera,0.941
Di María,Pelé,0.941
El País,Milei,0.941
Hipersticion,Sin Control 2,0.941
Alfabetismos Aumentados,Trabajo,0.941
Ley Ómnibus,O Sea Digamos,0.941
Fuerzas De Seguridad,Seguridad,0.941
Ice,Lawfare,0.941
Axel Kicillof,Elecciones,0.941
Culturahype,Sin Control 2,0.941
Folklore,Trap,0.941
Liberalismo,O Sea Digamos,0.941
Feminismos,Punitivismo,0.941
Javier Milei,Populismo,0.941
La Libertad Avanza,Pro,0.941
Javier Milei,Presupuesto 2025,0.941
El Último Rincón De Sudamérica,Surinam,0.941
Elecciones 2023,Libertarios,0.941
Elecciones 2023,Jorge Macri,0.941
Barras Bravas,Lionel Messi,0.941
Alberto Fernández,Juntos Por El Cambio,0.941
Juicios De Lesa Humanidad,Justicia,0.941
Libertarios,Sergio Massa,0.941
Iag,Inteligencia,0.941
Iag,Side,0.941
$Libra,El País,0.941
Iag,Santiago Caputo,0.941
Derecho A La Desconexión,Trabajo,0.941
Marxismo,Nancy Fraser,0.94
Cristina Fernández De Kirchner,Elecciones 2023,0.94
Luis Alberto Spinetta,Pop,0.94
Corrupción,Sin Control 2,0.94
Libertad,Milei,0.94
A 20 Años Del 2001,Martín Guzmán,0.94
Alberto Fernández,Marxismo,0.94
Reforma Laboral,Teletrabajo,0.94
Esquizofrenia,La Perla,0.94
Esquizofrenia,Familiares,0.94
#Eaaf,Esquizofrenia,0.94
Chile,Nueva Constitución,0.94
Elecciones,Francia Márquez,0.94
Inquilinxs,Vivienda,0.94
Infancias,Ley De Etiquetado,0.94
Karina Milei,Ley Ómnibus,0.94
Elecciones,Marxismo,0.94
Barras Bravas,Selección Argentina,0.94
Democracia,Ecuador,0.94
Triple Femicidio,Violencia De Género,0.94
Peronismo,Randazzo,0.94
Comedores Comunitarios,Liberalismo,0.94
#Niunamenos,Nahir Galarza,0.94
Congreso,Leandro Santoro,0.94
Elecciones,Escuela De Política Y Gobierno,0.94
Barras Bravas,Scaloneta,0.94
Javier Milei,Ley Ómnibus,0.94
Ciudad Futura,Juan Grabois,0.939
Ni Una Menos,Violencia De Género,0.939
Cine,Murakami,0.939
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Testimonios,0.939
Alemania,Elecciones,0.939
Elecciones Legislativas 2021,Liberalismo,0.939
Ciudad Futura,Unión Por La Patria,0.939
Asociación Del Fútbol Argentino,Mundial De Fútbol,0.939
Criptogate,Milei,0.939
Arteba,Copia,0.939
María Eugenia Vidal,Peronismo,0.939
Inteligencia Artificial,Side,0.939
Inteligencia,Inteligencia Artificial,0.939
Karina Milei,La Libertad Avanza,0.939
Jorge Macri,Peronismo,0.939
Arteba,Galpon Face,0.939
Leda-Unsam,Unsam,0.939
Inteligencia Artificial,Santiago Caputo,0.939
Economía,Precios,0.939
Crisis Climática,Transición Energética,0.939
Amor,Zapping Cultural,0.939
Capitalismo,Pensamiento Crítico,0.939
Diego Maradona,Qatar 2022,0.938
China,Ucrania,0.938
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Punitivismo,0.938
Ciudad Futura,Liberalismo,0.938
Elecciones 2023,Gobernadores,0.938
Libertarios,Provincias,0.938
Elecciones 2023,Marcos Peña,0.938
Elecciones,María Eugenia Vidal,0.938
Francia Márquez,Nancy Fraser,0.938
Corrupción,Un Año De Milei,0.938
Docentes,Territorio Educativo,0.938
#Niunamenos,Triple Femicidio,0.938
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Lenguaje Inclusivo,0.938
Milei,Unión Por La Patria,0.938
Jorge Macri,Sergio Massa,0.938
Fondos Buitre,Mitos Impuestos,0.938
Partido Republicano,Venezuela,0.938
Dólar,Economía,0.938
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Violencia De Género,0.938
Derecha,Religión,0.938
Derechas,Elecciones,0.938
Marcos Peña,Ucr,0.938
8M,Disidencias Sexuales,0.938
Guerra,Irán,0.938
Gobernadores,Marcos Peña,0.938
Ciudad Futura,Derechas,0.938
Juntos Por El Cambio,Pro,0.938
Crónica,La Columna De Zambra,0.937
Nicolás Maduro,Rusia,0.937
La Conversa,Plebiscito De Salida,0.937
Escuela De Política Y Gobierno,Frente De Todos,0.937
Axel Kicillof,Marcos Peña,0.937
Francia Márquez,Honduras,0.937
Francia Márquez,Xiomara Castro,0.937
Juan Grabois,Unión Por La Patria,0.937
Federalismo,Peronismo,0.937
Luis Alberto Spinetta,Música,0.937
Alberto Fernández,Kirchnerismo,0.937
Cordobesismo,Randazzo,0.937
Discurso,Hipersticion,0.937
Axel Kicillof,Ciudad Futura,0.937
Alberto Fernández,Progresismo,0.937
Culturahype,Discurso,0.937
Elecciones Legislativas 2021,Marxismo,0.937
#Niunamenos,8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,0.937
Elecciones Legislativas 2021,Perfil Político,0.937
Discurso,El País,0.937
Donald Trump,Venezuela,0.937
Boric,Chile Convención Constituyente Internacional,0.937
Adolescencias,Ciberludopatía,0.937
Dólar,Mitos Impuestos,0.937
Marxismo,Progresismo,0.937
Guyana,Surinam,0.937
Sergio Massa,Un Año De Milei,0.937
Elecciones,Giorgia Meloni,0.937
Derechas,Juan Grabois,0.937
8M,Lenguaje Inclusivo,0.937
Javier Milei,Lunes Negro,0.937
Lionel Messi,Maradona,0.937
Nahir Galarza,Patriarcado,0.937
El Ultimo Rincon De Sudamerica,Guayana Francesa,0.937
Lionel Messi,Viajes,0.936
Congreso,Corrupción,0.936
Federalismo,Un Año De Milei,0.936
Feminismos,Shakespeare,0.936
Feminismos,Testimonios,0.936
Abuso Sexual,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.936
Elecciones 2023,Frente De Todos,0.936
Deudas,Retenciones,0.936
Alejandro Sabella,Barras Bravas,0.936
Pop,Redonditos De Ricota,0.936
A 20 Años Del Estallido,Democracia,0.936
Futuro Anfibio,Pantallas,0.936
Culturahype,Karina Milei,0.936
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Furia Travesti,0.936
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Terf,0.936
Discurso,Financiamiento Narco,0.936
Discurso,Federalismo,0.936
Federalismo,Libertad,0.936
Derechas,Juntos Por El Cambio,0.936
Jorge Macri,Provincias,0.936
Diego Maradona,Maradona,0.936
Hipersticion,Karina Milei,0.936
Karina Milei,Milei,0.936
Marcos Peña,Sergio Massa,0.936
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Triple Femicidio,0.936
Marcos Peña,Perfil Político,0.936
Fundamentalistas Del Aire Acondicionado,Pop,0.936
Gobernadores,Peronismo,0.936
Guerra,Iran,0.936
Alemania,Frente De Todos,0.936
Federalismo,Juntos Por El Cambio,0.936
Barras Bravas,Messi,0.936
Campo,Deudas,0.936
Causa Andis,Discurso,0.936
Agronegocios,Deudas,0.936
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Cancelación,0.936
8M,Punitivismo,0.936
Javier Milei,Milei,0.936
Derechas,Perfil Político,0.936
$Libra,Javier Milei,0.936
Perfil Político,Randazzo,0.936
Axel Kicillof,Cristina Fernández De Kirchner,0.935
Falsas Denuncias,Punitivismo,0.935
Desarrollo,Energía,0.935
Carry Trade,Deuda Externa,0.935
Barbie,Cine Argentino,0.935
Petróleo,Rigi,0.935
Pablo Lautra,Punitivismo,0.935
Deuda,Deuda Externa,0.935
Israel,Spinoza,0.935
Ley Ómnibus,Pro,0.935
Israel,Judaismo,0.935
Punitivismo,Varones Unidos,0.935
Claudia Sheinbaum,Nicaragua,0.935
Feminismo Negro,Progresismo,0.935
Carry Trade,Deuda,0.935
Claudia Sheinbaum,Daniel Ortega,0.935
O Sea Digamos,Pro,0.935
3J,Feminismos,0.935
El Último Rincón De Sudamérica,Guyana,0.935
Libertad,Presupuesto 2025,0.935
Libertad,Populismo,0.935
Adorni,Congreso,0.935
Interseccionalidad,Progresismo,0.935
Convención Constituyente,La Conversa,0.935
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Feminismos,0.935
Arte Digital,Clases Medias,0.935
Francia Márquez,Frente De Todos,0.935
La Libertad Avanza,Peronismo,0.935
Doble Femicidio,Punitivismo,0.935
Abuso Sexual,Punitivismo,0.935
Denuncias,Punitivismo,0.935
Gaza,Israel,0.935
Convención Constituyente,Nueva Constitución,0.935
Anticomunismo,Ciudad Futura,0.935
Alberto Fernández,Francia Márquez,0.935
Ni Una Menos,Testimonios,0.934
Putin,Vladímir Putin,0.934
Terf,Testimonios,0.934
Juntos Por El Cambio,Progresismo,0.934
Lentitud,Soledad Pastorutti,0.934
Juntos Por El Cambio,Perfil Político,0.934
Festival Anfibio,Periodismo,0.934
Karina Milei,Manuel Adorni,0.934
Comunicación Política,Progresismo,0.934
Folklore,Horrorcore,0.934
Educación,Violencia Escolar,0.934
Asociación Del Fútbol Argentino,Scaloneta,0.934
Putin,Unión Europea,0.934
Cancelación,Testimonios,0.934
Invasión,Trump,0.934
Arte,Posguerra,0.934
Arte,Melisa Zulberti,0.934
Amazon Prime,Gordoodio,0.934
Ambientalismo,Litio,0.934
Derechas,Provincias,0.934
Lentitud,Lito Vitale,0.934
Lentitud,Liliana Herrero,0.934
Elecciones,Liberalismo,0.934
Hbo,Netflix,0.934
Fútbol Femenino,Messi,0.934
Fútbol Femenino,Selección Argentina,0.934
Elecciones,Gustavo Petro,0.934
Jorge Macri,Ucr,0.934
Arte,Danza,0.934
Alberto Fernández,Alemania,0.934
Arte,Movimiento,0.934
Artlab,Roberto Jacoby,0.934
Corte Suprema,Lawfare,0.934
Femicidios,Patriarcado,0.934
Julián Kartun,Lentitud,0.934
Atentado A Cristina,Discursos De Odio,0.934
Alberto Fernández,El Salvador,0.934
Iglesia Católica,Religión,0.934
Populismo,Unión Por La Patria,0.934
Cosquín,Lentitud,0.934
Barras Bravas,Viajes,0.934
Lentitud,Milo J,0.934
Lentitud,Mex Urtizberea,0.934
Falklore,Lentitud,0.934
A 20 Años Del 2001,Alberto Fernández,0.934
Dillom,Folklore,0.934
Presupuesto 2025,Unión Por La Patria,0.934
Alejandro Sabella,Asociación Del Fútbol Argentino,0.934
Federalismo,Karina Milei,0.934
Estados Unidos,Politica Exterior,0.934
Groenlandia,Putin,0.934
Furia Travesti,Testimonios,0.934
Cazzu,Lentitud,0.934
Estallido En Chile,La Transición En Chile,0.934
Asociación Del Fútbol Argentino,Selección Argentina,0.933
Cine Argentino,Murakami,0.933
2X1 A Genocidas,Terrorismo De Estado,0.933
Corrupción,Federalismo,0.933
Marcos Peña,María Eugenia Vidal,0.933
Interseccionalidad,Nancy Fraser,0.933
Comedores Comunitarios,Movimientos Sociales,0.933
Comedores Comunitarios,Elecciones 2023,0.933
Gustavo Petro,Nancy Fraser,0.933
Mundial 2026,Mundial De Fútbol,0.933
Bell Hooks,Shakespeare,0.933
Derechas,Elecciones Legislativas 2021,0.933
Angela Merkel,Randazzo,0.933
María Eugenia Vidal,Ucr,0.933
Fallo Contra Cfk,Peronismo,0.933
Bukele,El Salvador,0.933
El País,Manuel Adorni,0.933
Feminismos Afro,Shakespeare,0.933
Feminismos,Orgullo,0.933
Peronismo,Provincias,0.933
Elecciones,Frente De Izquierda,0.933
Precios,Silvina Batakis,0.933
Ca7Triel Y Paco,Folclore,0.933
#Niunamenos,Violencia De Género,0.933
Energía,Recursos Naturales,0.933
Discursos De Odio,Juventudes,0.933
Boric,La Conversa,0.933
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Masculinidades,0.933
Carry Trade,Glosario De La Crisis,0.933
Frente De Todos,María Eugenia Vidal,0.933
Soledad Acuña,Universidad Pública,0.933
Liberalismo,Perfil Político,0.933
Rock Nacional,Rosalía,0.933
Feminismo Negro,Nancy Fraser,0.933
Ca7Triel Y Paco,Rosalía,0.933
Proceso Constituyente,Sebastián Piñera,0.933
Elecciones 2023,Perfil Político,0.932
Federalismo,Ley Ómnibus,0.932
Partido Republicano,Xiomara Castro,0.932
Capitalismo,Imaginarios,0.932
Deuda,Impuesto A Las Grandes Riquezas,0.932
Pensamiento Crítico,Tecnología,0.932
Frente De Todos,Randazzo,0.932
Di María,Fútbol Femenino,0.932
Papa Francisco,Religión,0.932
Capitalismo,Futuridades,0.932
Izquierdas,Nancy Fraser,0.932
Javier Milei,Juan Grabois,0.932
Honduras,Partido Republicano,0.932
Cristina Fernández De Kirchner,Sergio Massa,0.932
Anticomunismo,Libertad,0.932
Recursos Naturales,Rigi,0.932
Axel Kicillof,Liberalismo,0.932
Fútbol Femenino,Qatar 2022,0.932
Fútbol Femenino,Scaloneta,0.932
Crueldad,Leda-Unsam,0.932
Asociación Del Fútbol Argentino,Messi,0.932
Lunes Negro,O Sea Digamos,0.932
Corrupción,Derechas,0.932
Artes,Clases Medias,0.931
Inundaciones,Océanos,0.931
Corrupción,Elecciones 2023,0.931
Jorge Volpi,Lectura Mundi,0.931
Izquierdas,Juntos Por El Cambio,0.931
Corrupción,Juan Grabois,0.931
Medio Oriente,Spinoza,0.931
Barras Bravas,Di María,0.931
Cristina Fernández De Kirchner,Liberalismo,0.931
Moria Casán,Sex And The City,0.931
Charly García,Folclore,0.931
Cordobesismo,Marcos Peña,0.931
Chile Convención Constituyente Internacional,Proceso Constituyente,0.931
Ciudad Futura,Marcos Peña,0.931
Judaismo,Medio Oriente,0.931
Derechos Humanos,Dictadura,0.931
Gaza,Medio Oriente,0.931
Amistad,Moria Casán,0.931
Glosario De La Crisis,Mitos Impuestos,0.931
Daniel Ortega,El Salvador,0.931
Amor,Tecnologías De Género,0.931
Juntos Por El Cambio,Liberalismo,0.931
La Libertad Avanza,Ley Ómnibus,0.931
El Salvador,Nicaragua,0.931
#Niunamenos,Femicidios,0.931
La Transición En Chile,Sebastián Piñera,0.931
Abuso Sexual,Triple Femicidio,0.931
Ecuador,Feminismo Negro,0.931
Ecuador,Interseccionalidad,0.931
Frente De Todos,Silvina Batakis,0.931
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Higui,0.931
Océanos,Servicio Meteorológico Nacional,0.931
Alberto Fernández,Escuela De Política Y Gobierno,0.931
Francia Márquez,Marcos Peña,0.931
Océano,Océanos,0.931
O Sea Digamos,Populismo,0.931
O Sea Digamos,Presupuesto 2025,0.931
Juan Román Riquelme,Mauricio Macri,0.931
Jujuy,Pueblos Originarios,0.931
Mundial Femenino De Fútbol,Selección Argentina,0.93
Covid-19,Después Del Virus,0.93
Mex Urtizberea,Rosalía,0.93
Corte Suprema,Lesa Humanidad,0.93
Cosquín,Rosalía,0.93
Bell Hooks,Testimonios,0.93
Amor,Series,0.93
Libertarios,Nacionalismo,0.93
Milo J,Rosalía,0.93
Cazzu,Rosalía,0.93
Lenguaje Inclusivo,Punitivismo,0.93
Fmi,Precios,0.93
Ley Ómnibus,Unión Por La Patria,0.93
Rosalía,Soledad Pastorutti,0.93
Federalismo,Gobernadores,0.93
Kirchnerismo,Peronismo,0.93
Democracia,Política,0.93
Marcos Peña,Progresismo,0.93
Jorge Macri,Unión Por La Patria,0.93
Liliana Herrero,Rosalía,0.93
Juan Grabois,Liberalismo,0.93
Juan Grabois,Juntos Por El Cambio,0.93
Julián Kartun,Rosalía,0.93
La Conversa,Nueva Constitución,0.93
Convención Constituyente,Gabriel Boric,0.93
Apuestas,Onlyfans,0.93
Jorge Macri,Marcos Peña,0.93
24M: Día De La Memoria Por La Verdad Y La Justicia,Dictadura,0.93
Lito Vitale,Rosalía,0.93
Ciudad Futura,Jorge Macri,0.93
Lesa Humanidad,Poder Judicial,0.93
Escuela De Política Y Gobierno,Izquierdas,0.93
Carry Trade,Mitos Impuestos,0.93
Diego Maradona,Scaloneta,0.93
Feminismos Afro,Testimonios,0.93
Falklore,Rosalía,0.93
Elecciones,Nancy Fraser,0.93
Capitalismo Digital,Derecho A La Desconexión,0.93
Alejandro Sabella,Fútbol Femenino,0.93
Discurso,Elecciones 2023,0.93
Alemania,Honduras,0.93
Alemania,Xiomara Castro,0.93
Libertad,Provincias,0.93
Alfabetismos Aumentados,Capitalismo Digital,0.93
$Libra,Discurso,0.929
Perfil Político,Progresismo,0.929
Drogas,Narcotráfico,0.929
Nueva Constitución,Sebastián Piñera,0.929
Nancy Fraser,Progresismo,0.929
Crueldad,Progresismo,0.929
Escuela De Política Y Gobierno,Progresismo,0.929
Elecciones 2023,Fallo Contra Cfk,0.929
Peronismo,Unión Por La Patria,0.929
Escuela De Política Y Gobierno,Interseccionalidad,0.929
Escuela De Política Y Gobierno,Feminismo Negro,0.929
Peronismo,Política,0.929
Soledad Acuña,Violencia Escolar,0.929
Liberalismo,Provincias,0.929
Deuda,Glosario De La Crisis,0.929
Agua,Ambiente,0.929
Partidos Políticos,Sebastián Piñera,0.929
A 20 Años Del Estallido,Escuela Idaes,0.929
Crimen,Justicia,0.929
Messi,Mundial Femenino De Fútbol,0.929
Axel Kicillof,Javier Milei,0.929
Axel Kicillof,Derechas,0.929
2001 | Unsam,Crisis 2001,0.929
Colombia,Gustavo Petro,0.929
Crisis,Hegemonía,0.929
3J,Ni Una Menos,0.929
Anticomunismo,Congreso,0.929
Testimonios,Vínculos,0.929
Chile,Estallido En Chile,0.928
